NACA 2412 Airfoil M=2.0% P=40.0% T=12.0%
  1.000084  0.001257
  0.998557  0.001575
  0.993984  0.002524
  0.986392  0.004086
  0.975825  0.006231
  0.962343  0.008922
  0.946027  0.012110
  0.926971  0.015740
  0.905287  0.019752
  0.881104  0.024079
  0.854565  0.028653
  0.825830  0.033404
  0.795069  0.038260
  0.762469  0.043149
  0.728228  0.048000
  0.692554  0.052741
  0.655665  0.057302
  0.617788  0.061615
  0.579155  0.065609
  0.540008  0.069220
  0.500588  0.072381
  0.461143  0.075034
  0.421921  0.077122
  0.383032  0.078574
  0.344680  0.079198
  0.307289  0.078941
  0.271106  0.077802
  0.236371  0.075794
  0.203313  0.072947
  0.172151  0.069309
  0.143088  0.064941
  0.116313  0.059918
  0.091996  0.054325
  0.070289  0.048257
  0.051324  0.041808
  0.035214  0.035076
  0.022051  0.028152
  0.011907  0.021120
  0.004833  0.014049
  0.000860  0.006997
  0.000000  0.000000
  0.002223 -0.006689
  0.007479 -0.012828
  0.015723 -0.018404
  0.026892 -0.023408
  0.040906 -0.027826
  0.057669 -0.031651
  0.077071 -0.034878
  0.098987 -0.037507
  0.123281 -0.039546
  0.149805 -0.041013
  0.178401 -0.041934
  0.208902 -0.042346
  0.241131 -0.042294
  0.274904 -0.041834
  0.310028 -0.041027
  0.346303 -0.039941
  0.383522 -0.038644
  0.421644 -0.037174
  0.460397 -0.035444
  0.499412 -0.033493
  0.538451 -0.031373
  0.577279 -0.029138
  0.615658 -0.026833
  0.653352 -0.024500
  0.690129 -0.022172
  0.725762 -0.019880
  0.760029 -0.017649
  0.792716 -0.015499
  0.823619 -0.013448
  0.852541 -0.011510
  0.879302 -0.009701
  0.903730 -0.008033
  0.925669 -0.006520
  0.944979 -0.005174
  0.961536 -0.004008
  0.975232 -0.003035
  0.985978 -0.002265
  0.993705 -0.001708
  0.998361 -0.001370
  0.999916 -0.001257
